0.005,67.7
0.01,56.6
0.015,56.2
0.02,57.3
0.025,56.7
0.03,57.0
0.035,56.4
0.04,56.3
0.045,56.8
0.05,57.0
0.055,56.7
0.06,57.1
0.065,57.1
0.07,56.7
0.075,56.5
0.08,56.8
0.085,56.7
0.09,56.4
0.095,56.4
0.1,56.1
0.105,56.3
0.11,57.2
0.115,56.2
0.12,56.2
0.125,56.6
0.13,56.5
0.135,56.4
0.14,56.4
0.145,56.2
0.15,56.2
0.155,56.3
0.16,56.4
0.165,56.3
0.17,56.3
0.175,56.5
0.18,56.3
0.185,56.2
0.19,56.3
0.195,56.4
0.2,56.4
0.205,56.4
0.21,56.5
0.215,56.2
0.22,56.5
0.225,56.4
0.23,56.4
0.235,56.4
0.24,56.3
0.245,56.6
0.25,56.3
