0.005,69.1
0.01,56.4
0.015,58.7
0.02,56.8
0.025,56.3
0.03,56.2
0.035,56.4
0.04,56.4
0.045,56.0
0.05,56.5
0.055,56.3
0.06,56.6
0.065,56.3
0.07,56.5
0.075,56.6
0.08,56.6
0.085,56.9
0.09,57.0
0.095,56.8
0.1,56.4
0.105,57.9
0.11,56.6
0.115,56.5
0.12,56.4
0.125,56.4
0.13,56.5
0.135,57.1
0.14,57.1
0.145,57.2
0.15,57.8
0.155,56.6
0.16,56.6
0.165,56.4
0.17,56.5
0.175,56.5
0.18,56.4
0.185,56.0
0.19,56.4
0.195,57.4
0.2,56.4
0.205,56.2
0.21,56.5
0.215,56.6
0.22,56.6
0.225,56.5
0.23,56.4
0.235,56.3
0.24,56.4
0.245,56.5
0.25,57.0
