0.005,72.6
0.01,57.3
0.015,57.1
0.02,59.7
0.025,57.4
0.03,57.2
0.035,57.3
0.04,58.2
0.045,57.2
0.05,57.2
0.055,57.3
0.06,57.1
0.065,57.2
0.07,57.2
0.075,57.1
0.08,57.9
0.085,57.1
0.09,57.3
0.095,57.3
0.1,57.0
0.105,58.6
0.11,57.5
0.115,57.1
0.12,57.2
0.125,57.3
0.13,57.4
0.135,57.5
0.14,57.2
0.145,57.4
0.15,57.4
0.155,57.3
0.16,58.0
0.165,59.1
0.17,57.3
0.175,59.4
0.18,57.2
0.185,57.6
0.19,57.5
0.195,59.1
0.2,58.2
0.205,57.7
0.21,57.2
0.215,57.5
0.22,57.9
0.225,57.9
0.23,57.9
0.235,57.1
0.24,57.3
0.245,57.2
0.25,57.3
